Артикул;Наименование;Количество;Единица измерения;Тип;Цена
У 111;Уголок монтажный, Д=25 мм, Ш=40 мм;2403;шт.;Уголки мебельные;8,49
У 157;Уголок монтажный, Д=30 мм, Ш=70 мм;1511;шт.;Уголки мебельные;16,38
У 200;Уголок монтажный, Д=40 мм, Ш=17 мм;2708;шт.;Уголки мебельные;6,81
У 300;Уголок монтажный, Д=50 мм, Ш=17 мм;2635;шт.;Уголки мебельные;7,08
У 393;Уголок монтажный, Д=30 мм, Ш=30 мм;1532;шт.;Уголки мебельные;7,43
У 442;Уголок монтажный, Д=40 мм, Ш=16 мм;301;шт.;Уголки мебельные;8,4
У 500;Уголок монтажный, Д=40 мм, Ш=30 мм;1928;шт.;Уголки мебельные;9,45
У 600;Уголок монтажный, Д=30 мм, Ш=30 мм;2562;шт.;Уголки мебельные;6,48
У 700;Уголок монтажный, Д=25 мм, Ш=25 мм;2750;шт.;Уголки мебельные;5,79
6 X 30 / 1000 ШТ;Шкант мебельный 6 Х 30 (1000 шт.);106;упак.;шканты;274,27
8 X 30 / 27000 ШТ;Шкант мебельный 8 Х 30 (27000 шт.);302;упак.;шканты;4996,99
8 X 30 / 5000ШТ;Шкант мебельный 8 Х 30 (5000 шт.);1214;упак.;шканты;1158,39
8 X 30K / 5000ШТ;Шкант калиброванный мебельный 8 Х 30 (5000 шт.);1174;упак.;шканты;1158,39
8 X 40 / 1000 ШТ;Шкант мебельный 8 Х 40 (1000 шт.);343;упак.;шканты;386,13
8 X 50 / 1000 ШТ;Шкант мебельный 8 Х 50 (1000 шт.);889;упак.;шканты;503,11
EL10/1000;Шкант плоский 53 x 19,4 мм (1000 шт.);1210;упак.;шканты;2187,9
EL20/1000;Шкант плоский 55 x 23,5 мм (1000 шт.);1017;упак.;шканты;2187,9
EL30/1000;Шкант плоский 55 x 30 мм (1000 шт.);524;упак.;шканты;3456,18
SP12FZT00;Шкант металлический папа;1027;шт.;шканты;3,75
SP12FZTFE;Шкант металлический мама;1379;шт.;шканты;3,68
14-001;Брус соединительный белый, Д=2750 мм;2419;шт.;Крепления и соединители;48,84
14-004;Брус соединительный коричневый, Д=2750 мм;1561;шт.;Крепления и соединители;48,84
14-005;Брус соединительный черный, Д=2750 мм;640;шт.;Крепления и соединители;17,5
4247,08;Teks Крепление для фасада (комплект);2215;компл.;Крепления и соединители;42,19
4247,156;Discus Крепление для панели (комплект);1679;компл.;Крепления и соединители;16,53
438;Двухсторонний скотч на основе вспененного ПЭ, Д=50 м;2166;боб;Крепления и соединители;1136,25
CD-3 (500ШТ.);Зеркалодержатель груша (500 шт.);2306;упак.;Крепления и соединители;149
CD6;Зеркалодержатель желтый (500 шт);2954;упак.;Крепления и соединители;138
FS01PB;Крепление для стекла 5 мм белое;1714;шт.;Крепления и соединители;2,94
FS01PMA;Держатель зеркала 5мм, коричневый;899;шт.;Крепления и соединители;0,5
FS01PNE;Держатель зеркала 5мм, черный;634;шт.;Крепления и соединители;1
FS01PT;Крепление для стекла 5 мм прозрачное;239;шт.;Крепления и соединители;2,95
FS02PB;Крепление для стекла 4 мм белое;2401;шт.;Крепления и соединители;6,43
FS02PMА;Держатель зеркала 4мм, коричневый;1195;шт.;Крепления и соединители;4,74
FS02PNE;Держатель зеркала 4мм, черный;908;шт.;Крепления и соединители;1
